Observação;Data;Mês;Ano - Safra;Preços - Milho;Preços - Soja;
397;04/08/2015;8;2015; R$ 26,48 ; R$ 71,63 ;
398;05/08/2015;8;2015; R$ 26,58 ; R$ 72,35 ;
399;06/08/2015;8;2015; R$ 27,08 ; R$ 73,09 ;
400;07/08/2015;8;2015; R$ 27,60 ; R$ 73,18 ;
401;10/08/2015;8;2015; R$ 27,56 ; R$ 73,44 ;
402;11/08/2015;8;2015; R$ 27,86 ; R$ 74,07 ;
403;12/08/2015;8;2015; R$ 27,58 ; R$ 72,51 ;
404;13/08/2015;8;2015; R$ 27,63 ; R$ 72,40 ;
405;14/08/2015;8;2015; R$ 27,38 ; R$ 71,77 ;
406;17/08/2015;8;2015; R$ 27,39 ; R$ 71,01 ;
407;18/08/2015;8;2015; R$ 27,09 ; R$ 70,74 ;
408;19/08/2015;8;2015; R$ 27,34 ; R$ 70,96 ;
409;20/08/2015;8;2015; R$ 27,50 ; R$ 71,09 ;
410;21/08/2015;8;2015; R$ 27,38 ; R$ 71,32 ;
411;24/08/2015;8;2015; R$ 27,60 ; R$ 71,65 ;
412;25/08/2015;8;2015; R$ 27,69 ; R$ 72,31 ;
413;26/08/2015;8;2015; R$ 27,65 ; R$ 73,37 ;
414;27/08/2015;8;2015; R$ 27,85 ; R$ 72,38 ;
415;28/08/2015;8;2015; R$ 27,91 ; R$ 72,62 ;
416;31/08/2015;8;2015; R$ 28,16 ; R$ 73,06 ;
417;01/09/2015;9;2015; R$ 28,69 ; R$ 73,00 ;
418;02/09/2015;9;2015; R$ 29,05 ; R$ 73,56 ;
419;03/09/2015;9;2015; R$ 29,20 ; R$ 74,15 ;
420;04/09/2015;9;2015; R$ 29,55 ; R$ 74,66 ;
421;08/09/2015;9;2015; R$ 29,61 ; R$ 75,07 ;
422;09/09/2015;9;2015; R$ 29,61 ; R$ 74,52 ;
423;10/09/2015;9;2015; R$ 29,95 ; R$ 75,70 ;
424;11/09/2015;9;2015; R$ 30,26 ; R$ 75,54 ;
425;14/09/2015;9;2015; R$ 30,61 ; R$ 76,99 ;
426;15/09/2015;9;2015; R$ 30,99 ; R$ 76,53 ;
427;16/09/2015;9;2015; R$ 31,36 ; R$ 76,65 ;
428;17/09/2015;9;2015; R$ 31,42 ; R$ 76,80 ;
429;18/09/2015;9;2015; R$ 31,40 ; R$ 76,94 ;
430;21/09/2015;9;2015; R$ 31,38 ; R$ 77,00 ;
431;22/09/2015;9;2015; R$ 31,73 ; R$ 78,40 ;
432;23/09/2015;9;2015; R$ 31,98 ; R$ 79,01 ;
433;24/09/2015;9;2015; R$ 32,62 ; R$ 79,57 ;
434;25/09/2015;9;2015; R$ 32,51 ; R$ 78,24 ;
435;28/09/2015;9;2015; R$ 32,96 ; R$ 78,03 ;
436;29/09/2015;9;2015; R$ 33,19 ; R$ 79,86 ;
437;30/09/2015;9;2015; R$ 33,69 ; R$ 78,86 ;
438;01/10/2015;10;2015; R$ 33,52 ; R$ 78,87 ;
439;02/10/2015;10;2015; R$ 33,36 ; R$ 78,23 ;
440;05/10/2015;10;2015; R$ 33,43 ; R$ 77,86 ;
441;06/10/2015;10;2015; R$ 33,21 ; R$ 77,67 ;
442;07/10/2015;10;2015; R$ 33,02 ; R$ 76,65 ;
443;08/10/2015;10;2015; R$ 32,76 ; R$ 76,59 ;
444;09/10/2015;10;2015; R$ 32,36 ; R$ 76,00 ;
445;13/10/2015;10;2015; R$ 32,32 ; R$ 77,80 ;
446;14/10/2015;10;2015; R$ 32,31 ; R$ 78,53 ;
447;15/10/2015;10;2015; R$ 32,17 ; R$ 78,44 ;
448;16/10/2015;10;2015; R$ 32,08 ; R$ 78,31 ;
449;19/10/2015;10;2015; R$ 32,13 ; R$ 78,51 ;
450;20/10/2015;10;2015; R$ 32,20 ; R$ 78,57 ;
451;21/10/2015;10;2015; R$ 32,53 ; R$ 79,45 ;
452;22/10/2015;10;2015; R$ 32,76 ; R$ 79,53 ;
453;23/10/2015;10;2015; R$ 32,86 ; R$ 78,96 ;
454;26/10/2015;10;2015; R$ 32,84 ; R$ 78,25 ;
455;27/10/2015;10;2015; R$ 33,04 ; R$ 78,39 ;
456;28/10/2015;10;2015; R$ 33,03 ; R$ 78,26 ;
457;29/10/2015;10;2015; R$ 33,45 ; R$ 78,24 ;
458;30/10/2015;10;2015; R$ 33,97 ; R$ 77,88 ;
459;03/11/2015;11;2015; R$ 33,69 ; R$ 76,89 ;
460;04/11/2015;11;2015; R$ 33,68 ; R$ 76,12 ;
461;05/11/2015;11;2015; R$ 33,59 ; R$ 76,28 ;
462;06/11/2015;11;2015; R$ 33,77 ; R$ 75,61 ;
463;09/11/2015;11;2015; R$ 33,83 ; R$ 75,79 ;
464;10/11/2015;11;2015; R$ 33,98 ; R$ 76,15 ;
465;11/11/2015;11;2015; R$ 33,83 ; R$ 75,12 ;
466;12/11/2015;11;2015; R$ 33,99 ; R$ 75,71 ;
467;13/11/2015;11;2015; R$ 33,82 ; R$ 75,42 ;
468;16/11/2015;11;2015; R$ 33,67 ; R$ 76,08 ;
469;17/11/2015;11;2015; R$ 33,30 ; R$ 76,19 ;
470;18/11/2015;11;2015; R$ 33,28 ; R$ 76,19 ;
471;19/11/2015;11;2015; R$ 33,35 ; R$ 74,72 ;
472;20/11/2015;11;2015; R$ 33,52 ; R$ 74,38 ;
473;23/11/2015;11;2015; R$ 33,45 ; R$ 73,93 ;
474;24/11/2015;11;2015; R$ 33,58 ; R$ 74,29 ;
475;25/11/2015;11;2015; R$ 33,38 ; R$ 75,16 ;
476;26/11/2015;11;2015; R$ 33,14 ; R$ 74,91 ;
477;27/11/2015;11;2015; R$ 33,24 ; R$ 75,48 ;
478;30/11/2015;11;2015; R$ 33,25 ; R$ 76,65 ;
479;01/12/2015;12;2015; R$ 33,82 ; R$ 77,03 ;
480;02/12/2015;12;2015; R$ 33,82 ; R$ 77,40 ;
481;03/12/2015;12;2015; R$ 34,16 ; R$ 76,94 ;
482;04/12/2015;12;2015; R$ 34,09 ; R$ 76,66 ;
483;07/12/2015;12;2015; R$ 33,92 ; R$ 76,64 ;
484;08/12/2015;12;2015; R$ 34,92 ; R$ 75,91 ;
485;09/12/2015;12;2015; R$ 34,78 ; R$ 75,84 ;
486;10/12/2015;12;2015; R$ 35,11 ; R$ 75,86 ;
487;11/12/2015;12;2015; R$ 35,44 ; R$ 76,35 ;
488;14/12/2015;12;2015; R$ 35,60 ; R$ 76,49 ;
489;15/12/2015;12;2015; R$ 35,54 ; R$ 76,73 ;
490;16/12/2015;12;2015; R$ 35,66 ; R$ 76,99 ;
491;17/12/2015;12;2015; R$ 35,67 ; R$ 76,32 ;
492;18/12/2015;12;2015; R$ 35,76 ; R$ 77,19 ;
493;21/12/2015;12;2015; R$ 36,15 ; R$ 78,10 ;
494;22/12/2015;12;2015; R$ 36,23 ; R$ 78,61 ;
495;23/12/2015;12;2015; R$ 36,26 ; R$ 78,21 ;
496;28/12/2015;12;2015; R$ 36,29 ; R$ 77,59 ;
497;29/12/2015;12;2015; R$ 36,55 ; R$ 78,55 ;
498;30/12/2015;12;2015; R$ 36,83 ; R$ 78,07 ;
